stage,objective_name,status,message,objective,lower_bound,upper_bound,mip_gap,runtime_s,variables,constraints,K,hard_constraint_semantics,solver_hard_feasible
Q3_deadline_fixed_K18,zero,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,0.6685106754302979,1083,1973,18,tardy_box upper bound fixed to 0; delivery<=deadline,False
Q3_deadline_fixed_K19,zero,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,0.9131298065185547,1185,2162,19,tardy_box upper bound fixed to 0; delivery<=deadline,False
Q3_deadline_fixed_K20,zero,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,1.0348296165466309,1296,2369,20,tardy_box upper bound fixed to 0; delivery<=deadline,False
Q3_deadline_fixed_K21,zero,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,1.1323797702789307,1413,2588,21,tardy_box upper bound fixed to 0; delivery<=deadline,False
Q3_deadline_fixed_K22,zero,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,0.9223055839538574,1538,2823,22,tardy_box upper bound fixed to 0; delivery<=deadline,False
Q3_deadline_fixed_K23,zero,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,0.9819478988647461,1671,3074,23,tardy_box upper bound fixed to 0; delivery<=deadline,False
Q3_deadline_fixed_K24,zero,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,1.2177751064300537,1813,3343,24,tardy_box upper bound fixed to 0; delivery<=deadline,False
Q3_deadline_fixed_K25,zero,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,1.6084213256835938,1963,3628,25,tardy_box upper bound fixed to 0; delivery<=deadline,False
Q3_deadline_fixed_K26,zero,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,1.6400299072265625,2120,3927,26,tardy_box upper bound fixed to 0; delivery<=deadline,False
Q3_deadline_fixed_K27,zero,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,1.7372910976409912,2285,4242,27,tardy_box upper bound fixed to 0; delivery<=deadline,False
Q3_deadline_fixed_K28,zero,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,3.31585955619812,2461,4579,28,tardy_box upper bound fixed to 0; delivery<=deadline,False
Q3_deadline_fixed_K29,zero,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,2.4513652324676514,2646,4934,29,tardy_box upper bound fixed to 0; delivery<=deadline,False
Q3_deadline_fixed_K30,zero,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,2.457585573196411,2840,5307,30,tardy_box upper bound fixed to 0; delivery<=deadline,False
